Serise_X,Serise_Y,Subway_Num
62.81179138,12.98701299,S7
64.62585034,10.82251082,S7
66.09977324,8.982683983,S7
67.68707483,7.142857143,S7
69.27437642,5.194805195,S7
26.53061224,83.22510823,S8
27.09750567,85.71428571,S8
31.29251701,89.5021645,S8
35.37414966,92.53246753,S8
41.26984127,92.53246753,S8
46.93877551,92.53246753,S8
51.70068027,92.53246753,S8
55.44217687,92.53246753,S8
57.93650794,92.53246753,S8
60.99773243,92.53246753,S8
64.05895692,92.53246753,S8
67.80045351,95.23809524,S8
71.99546485,96.64502165,S8
76.30385488,96.64502165,S8
80.72562358,96.64502165,S8
85.26077098,96.64502165,S8
89.569161,96.64502165,S8
40.47619048,14.5021645,S9
40.58956916,11.7965368,S9
40.58956916,9.74025974,S9
40.58956916,7.683982684,S9
40.58956916,5.519480519,S9
40.58956916,2.705627706,S9
