address,经度,纬度,Serise_X,Serise_Y,平均价格
4,118.754231,32.06008,30.72562358,67.20779221,33883.89109
4,118.774679,32.059117,36.84807256,67.20779221,35191.9372
4,118.783701,32.058667,40.47619048,67.0995671,34254.25714
4,118.798082,32.057266,45.23809524,67.0995671,32820.75536
4,118.774679,32.059117,48.86621315,67.0995671,35191.9372
4,118.806,32.057314,52.15419501,67.20779221,30529.24771
4,118.815835,32.065571,56.23582766,68.18181818,28957.91176
4,118.831148,32.077536,58.84353741,70.56277056,24914.13333
4,118.837855,32.085238,61.79138322,71.64502165,23046.42857
4,118.864212,32.093858,66.66666667,71.64502165,15348.66667
4,118.888192,32.089503,72.33560091,71.64502165,17389.0625
4,118.931631,32.078018,76.19047619,71.64502165,15754.74074
4,118.943672,32.077698,80.15873016,72.07792208,11839.47368
4,118.964224,32.077173,82.99319728,74.45887446,17410.19048
4,118.98724,32.084468,84.92063492,76.2987013,10306.2
4,118.996482,32.098965,87.3015873,78.35497835,16895.08333
4,118.992658,32.125509,89.68253968,80.73593074,20002.29091
7,118.901908,32.133074,69.50113379,77.05627706,18330.28571
7,118.89429,32.128793,66.09977324,77.05627706,15749.52
7,118.875715,32.115239,62.58503401,77.05627706,14954.13043
7,118.859908,32.107659,59.18367347,77.05627706,15217.30435
7,118.849892,32.111546,55.89569161,77.05627706,16995.04
7,118.834652,32.119539,52.60770975,77.05627706,22829
7,118.818517,32.117229,49.31972789,77.05627706,24881.87611
7,118.798662,32.114303,42.63038549,77.05627706,23435.28261
7,118.784102,32.116719,37.75510204,75.86580087,24499.32075
7,118.771274,32.105533,36.28117914,74.67532468,25227.81443
7,118.771912,32.09222,34.58049887,73.37662338,28618.39552
7,118.759615,32.080126,32.76643991,71.96969697,33389.86986
7,118.757933,32.071226,31.17913832,70.67099567,34809.83516
7,118.754231,32.06008,30.72562358,67.20779221,33883.89109
7,118.760168,32.048316,30.72562358,61.7965368,34172.59155
7,118.758964,32.037306,26.19047619,53.46320346,35994.57009
7,118.757333,32.031757,27.77777778,52.05627706,35413.34343
7,118.754317,32.023787,29.25170068,50.64935065,33967.49727
7,118.749161,32.016428,30.49886621,48.91774892,33339.72189
7,118.746448,32.003936,30.6122449,47.51082251,31725.22222
7,118.738239,31.993694,30.6122449,45.995671,32655.43802
7,118.73317,31.987911,30.6122449,44.48051948,31228.75789
7,118.727853,31.982159,29.36507937,42.96536797,28584.15909
7,118.712185,31.974264,26.41723356,39.93506494,32991.57317
7,118.703159,31.966395,25.96371882,37.55411255,29246.4
7,118.7017,31.961404,25.96371882,33.98268398,24621.29231
7,118.690861,31.947161,25.85034014,31.38528139,26212.18519
10,118.762136,31.990862,40.47619048,44.58874459,30061.38961
10,118.780883,31.992722,36.73469388,44.48051948,28688
10,118.73317,31.987911,30.6122449,44.48051948,31228.75789
10,118.721449,31.995471,26.19047619,44.48051948,31909.03
10,118.718286,32.009065,23.24263039,45.45454545,38305.61333
10,118.721781,32.015473,23.35600907,51.83982684,41662.31068
10,118.716735,32.024161,21.42857143,58.22510823,41846.23288
10,118.703335,32.031632,17.68707483,58.11688312,32230.66667
10,118.680331,32.079095,13.26530612,58.11688312,25155.4186
10,118.657082,32.061689,8.163265306,58.11688312,23117.43836
10,118.648245,32.066794,3.287981859,58.11688312,19567.29032
10,118.635204,32.064712,1.473922902,55.41125541,16537.48864
10,118.626645,32.057396,1.473922902,50.97402597,16947.89157
10,118.615125,32.044496,1.473922902,46.96969697,14992.16071
S1,118.796894,31.971094,45.23809524,39.93506494,26926.43056
S1,118.784514,31.94253,40.70294785,34.95670996,24503.35714
S1,118.791365,31.914086,40.70294785,30.51948052,24638.6875
S1,118.795507,31.886166,40.70294785,26.40692641,24239.25
S1,118.805809,31.845115,40.47619048,22.07792208,14785
S1,118.821542,31.791284,40.58956916,18.3982684,10782.53846
S1,118.829201,31.754866,40.58956916,14.5021645,23924
S1,118.873817,31.73037,45.23809524,13.63636364,8901.130435
