酒店,评论,价格,地址,纬度,经度
旅途愈舍艺术民宿(南京夫子庙店),260条点评,264,洪武路334号,32.030923,118.786316
星战酒店(南京玄武湖公园湖南路店),542条点评,125,湖南路18号苏宁环球购物中心7楼,32.069342,118.778299
格菲酒店(南京江宁天印大道地铁站店),532条点评,185,天印大道1369号广博苑02幢,31.942442,118.865302
南京奥体岚枫酒店,720条点评,151,龙湖天街时代上城3栋3楼,31.987968,118.73808
蓝湾臻选酒店(龙湖天街东大成贤地铁站店),"1,279条点评",131,兰卉路与文景路交汇处三松仁里1幢B厅,32.15758,118.70632
南京隽恒酒店,"2,303条点评",399,西康路1号,32.054475,118.76297
南京夫子庙秦淮游船码头亚朵酒店,982条点评,386,大石坝街35号,32.020579,118.792507
水上楼酒店(南京夫子庙老门东店),131条点评,230,信府河133号,32.013438,118.783286
荣翎民宿(小龙湾地铁站店),40条点评,119,天元中路128号诚基名苑1幢414室,31.929444,118.824676
全季酒店(南京珠江路北门桥店),"1,628条点评",342,北门桥路4号,32.048237,118.788237
南京南站玺城·阿里酒店,"1,502条点评",160,玉盘东街2号金轮星立方,31.971803,118.800075
柒朵酒店(南京夫子庙风景区店),128条点评,163,太平南路535号,32.025789,118.790024
柏宜轻居(南京江东北路建邺吾悦广场店),840条点评,246,江东北路107号,32.042724,118.737499
湖畔居民宿(南京新街口珠江路地铁站店),137条点评,124,珠江路67号华利大厦3501室,32.050879,118.786807
南京总统府亚朵酒店,"2,007条点评",394,中山东路486号,32.039892,118.802383
如家精选酒店(南京新街口店),"1,602条点评",215,石鼓路71号,32.039964,118.779293
蓝湾臻选酒店(江宁东山汽车4S园店),427条点评,121,东山街道临麒路58号一号楼,31.98615,118.875549
南京禧映酒店(夫子庙老门东店),990条点评,198,平江府路199号中联广场北侧5楼,32.016207,118.792818
柏宜鹭洲府(南京夫子庙老门东店),706条点评,299,小心桥东街4号,32.014375,118.793679
桔子酒店(南京新街口户部街店),"2,019条点评",313,小火瓦巷四十八村12号,32.034724,118.788328
丽呈睿轩酒店(南京南站河定桥地铁站店),"2,292条点评",223,董村路39号天琪科技大厦,31.949901,118.812561
禧映·青年行旅酒店(南京夫子庙老门东店),"1,123条点评",47,平江府路199号5楼,32.016115,118.793034
南京洲漫酒店(浦口高芯科谷中科创新产业园店),178条点评,143,桥林街道兰新路15号C2栋,31.979391,118.56317
瑞华酒店(南京新街口店),"1,922条点评",152,俞家巷21号,32.037998,118.781181
南京航空航天大学博物院亚朵酒店,"1,250条点评",394,御道街33号,32.031177,118.817129
如家·neo(南京桥北弘阳广场泰山新村地铁站店),473条点评,123,大桥北路89号,32.144545,118.715365
桔子酒店(南京浦口新浦路店),79条点评,257,江浦街道河滨路115号,32.053129,118.639754
静雅精品酒店,81条点评,133,顶山街道浦光路4号9块地静雅嘉园二期B10栋,32.109853,118.693693
锦江都城酒店(南京六合万达广场欢乐港店),"1,493条点评",136,雄州街道永宁路28号,32.340165,118.840459
南京奥体博览中心优逸酒店,"2,518条点评",460,云龙山路康缘智汇港B座,31.983114,118.731653
南京新街口漫心酒店,"2,695条点评",312,太平南路168号,32.035776,118.792704
华季精品公寓(南京南站万科都荟天地店),"1,306条点评",77,竹翠路6号万科都荟天地城A4幢21楼2106室,31.963931,118.795912
水晶蓝湾云梦雅居民宿(百家湖地铁站店),12条点评,155,双龙大道1568号水晶蓝湾01幢608室,31.933636,118.820632
桔子酒店(南京南站店),19条点评,315,玉兰路99号明发商业广场1幢1层,31.977299,118.794806
南京风华里酒店式公寓(天隆寺地铁站店),"1,138条点评",115,软件大道109号雨花客厅6幢108室,31.979101,118.764786
南京瑞斯丽酒店,"1,935条点评",452,浦滨路207号,32.040405,118.642822
南京南站美居酒店,"2,375条点评",387,天元西路199号,31.926494,118.800588
南京一笑堂民宿,6条点评,87,光明路龙湖天曜星座4栋111室,32.046346,118.61411
花筑·百戏园客栈(南京夫子庙店),"2,735条点评",296,南捕厅21号,32.02647,118.781287
优逸酒店(省人民医院上海路地铁站店),974条点评,299,五台山1-3号,32.048487,118.775156
全季酒店(南京六合龙池地铁站店),746条点评,332,雄州南路333号1-4楼,32.318555,118.820971
未时酒店(南京夫子庙老门东店),739条点评,288,信府河31号.33号,32.016764,118.785219
天廷酒店(南京东大成贤学院地铁站店),30条点评,116,丽新路6号艾菲国际C区01幢一单元2楼,32.159321,118.705028
南京南站希尔顿欢朋酒店,"3,386条点评",498,胜利路38号,31.946661,118.811247
南京金鹰国际酒店,"14,017条点评",710,汉中路101号金鹰新街口店B座,32.041678,118.778252
花筑·僖堂民宿(南京夫子庙老门东店),330条点评,411,夫子庙街道大石坝街35号,32.020721,118.792811
南京白金汉爵大酒店,"6,919条点评",279,智谷大道1号,32.103204,118.892153
南京海铭远酒店公寓,354条点评,127,万达广场F座12楼1205室,32.029906,118.737305
花间赋轻奢影院公寓(南京南站都荟天地店),"1,097条点评",83,万科都荟天地C区1幢723,31.963296,118.796357
艾米酒店公寓(南京奥体新城科技园店),"1,769条点评",129,楠溪江东街55号龙湖时代上城3幢107室,31.98864,118.739035
美豪丽致酒店(南京南站明发广场地铁站店),"1,995条点评",398,玉兰路99号,31.97784,118.799202
南京溧水海乐城亚朵X酒店,"1,104条点评",324,中大街68号,31.654179,119.027322
祥歌之星·轻奢影院公寓(南京南站都荟天地店),"1,222条点评",152,万科都荟天地D1-12层,31.964006,118.797121
南京南站紫怡天悦酒店,"1,305条点评",289,东山街道竹翠路4号都荟天地城A-3幢3层,31.964844,118.795747
桔子水晶南京夫子庙酒店,"2,221条点评",344,太平南路529号,32.026249,118.790221
南京仁恒柏薇酒店公寓,"1,190条点评",499,贤坤路58号,32.028983,118.70421
南京轻宿酒店(奥体博览中心店),809条点评,308,庐山路288号升龙汇金二栋二单元,31.978909,118.710946
满艺居影院公寓(小行地铁站店),72条点评,112,小行里204号小行综合楼3楼,31.985966,118.746199
石头集竹林酒店(南京南站北广场店),762条点评,279,江南路2号,31.969513,118.793909
南京奥体博览中心中山精品酒店,633条点评,449,楠溪江东街97号,31.994776,118.7283
千居·泊秦淮酒店(南京夫子庙老门东店),867条点评,232,信府河123号,32.013517,118.783758
南京明故宫景区苜蓿园大街轻居酒店,759条点评,340,后标营路88号,32.028786,118.839414
格林豪泰酒店(百家湖科技产业园九龙湖地铁站店),459条点评,144,殷华街28号,31.918088,118.831952
南京奥体中心瑞贝庭公寓酒店,42条点评,383,元前路20号3幢,31.974254,118.706332
南京南站水月湾酒店公寓,"1,179条点评",109,证大喜玛拉雅营销中心B座一楼大厅,31.964444,118.805693
建国·璞隐酒店(南京中山陵景区店),"2,209条点评",427,中山陵四方城1号十朝历史文化园7号楼,32.044144,118.841974
夜泊秦淮·太傅楼酒店(南京夫子庙老门东店),560条点评,399,夫子庙街道白鹭村1号,32.018604,118.796659
南京印象酒店(百家湖水晶蓝湾店),236条点评,151,双龙大道1568号水晶蓝湾1-3栋,31.933854,118.820626
如家酒店(南京夫子庙大明路店),"1,045条点评",130,大明路130号-1,32.00745,118.811076
南京仙林宾馆,655条点评,329,仙林大学城文苑路1号,32.107849,118.912458
南京西安门智选假日酒店,49条点评,405,中山东路518号,32.039404,118.806061
南京水游城假日酒店,"3,196条点评",407,建康路1号,32.024224,118.786014
南京轻宿酒店(新城科技园店),352条点评,156,楠溪江东街55-25号,31.988023,118.739149
轻奢美度酒店(南京仙林大道万达茂店),719条点评,115,广志路21号楼万达茂中心D座1楼大厅,32.123342,118.990576
智悦居酒店(南京天印山农贸市场店),39条点评,109,莱茵达路12号海乐达生活广场四楼,31.944981,118.854362
E·HOTEL逸住府(南京夫子庙老门东店),517条点评,350,膺福街32、36、38号,32.013061,118.783816
南京总统府逸里酒店,235条点评,364,中山东路486号,32.04008,118.802482
如家睿柏·云酒店(南京禄口机场铜山地铁站店),119条点评,122,禄口机场航金大道6号,31.690864,118.880117
宜必思酒店(南京江宁南航大学店),973条点评,258,将军大道20号翠屏国际8幢101号,31.933375,118.787719
南京南站尚好商旅公寓酒店(天隆寺地铁站店),"1,161条点评",140,软件大道109号雨花客厅5栋1楼120室,31.979053,118.765046
和颐至尚酒店(南京新街口广场店),"1,036条点评",254,新街口丰富路140号,32.037252,118.781989
清沐酒店(南京夫子庙三山街地铁站店),580条点评,130,升州路185号2楼,32.025597,118.776931
瑞澜庭院酒店(南京博物院店),"1,765条点评",205,瑞金路街道解放路46号,32.033694,118.810054
如家酒店(南京新街口地铁站天空之都店),561条点评,168,户部街33号,32.035152,118.788513
城市轻氧酒店(南京新街口珠江路地铁站店),153条点评,140,珠江路187号三楼,32.050146,118.788007
南京柠檬树精品酒店,658条点评,77,龙眠大道618号协众雅居12栋9楼,31.915248,118.901919
如家商旅酒店(南京桥北弘阳广场柳洲东路地铁站店),887条点评,136,柳洲东路21号 (与南浦路交叉口),32.141522,118.738882
漫宿影院公寓(木马公寓店),355条点评,115,鱼市街56号木马公寓c栋,32.051519,118.787641
南京湖滨金陵饭店,"1,213条点评",433,佳湖东路8号 (百家湖边),31.940443,118.816924
ALIENWARE外星人电竞公寓(南京南站店),496条点评,438,梅香路7号602室,31.966057,118.788136
南京冶一城市民宿(新街口店),322条点评,350,淮海路88号1013室,32.036489,118.786615
空港铂金酒店(南京禄口机场店),912条点评,280,翔鹰三路6号,31.736334,118.883226
君鑫国际公寓(南京南站店),76条点评,86,金轮星际中心A3栋910室,31.961039,118.800685
清沐精选酒店(南京新街口杨公井店),"1,212条点评",142,延龄巷2号,32.035692,118.791376
南京麒麟中山陵景区希尔顿欢朋酒店,"3,646条点评",409,麒麟街道宾园街96号,32.017804,118.899318
华璟酒店(南京新街口市中心店),"1,382条点评",179,洪武路115号,32.038804,118.788443
南京高盛阁酒店(国际博览中心升龙汇金店),"3,524条点评",276,庐山路288号升龙汇金中心B栋2单元一楼,31.979116,118.710813
艺选安來酒店(南京禄口机场店),180条点评,121,禄口街道永欣大道11号,31.768701,118.869816
凯适雅酒店公寓,51条点评,74,天马路1号8栋8楼,32.06802,118.903916
南京金陵状元楼大酒店,"4,985条点评",457,夫子庙状元境9号,32.022119,118.788124
如家商旅酒店(南京南站明发广场地铁站店),61条点评,189,"玉兰路99号, 明发广场1栋",31.976668,118.794946
宽渡翡翠酒店(南京中山陵景区店),454条点评,304,孝陵卫街道四方城1号十朝文化馆11栋,32.043827,118.84034
沐时酒店(南京新街口常府街地铁站店),797条点评,117,太平南路297号楼7层,32.03309,118.792567
南京金鹰世界G酒店,"5,669条点评",1197,应天大街888号,32.024335,118.740927
南京花涧宿酒店(城北万象汇万寿地铁站店),337条点评,100,燕城大道10号3栋408室,32.122582,118.835728
孜图酒店(南京夫子庙景区店),"1,184条点评",305,大石坝街68号北楼,32.020799,118.792188
福森酒店公寓(南京南站店),"1,199条点评",108,卡子门大街99号复地活力广场S2栋2单元18楼,31.981547,118.803725
漫庭湖景酒店(南京雨花吾悦广场店),14条点评,116,古雄大道211号1幢2711室,31.912863,118.654468
江苏辰茂新世纪大酒店,"2,163条点评",298,龙蟠路133号,32.083838,118.80052
金鹏云居酒店(南京夫子庙中心店),"1,562条点评",269,太平南路慧园街5号,32.024743,118.788992
南京东山宾馆,268条点评,169,竹山路159号,31.943567,118.846268
南京滨江智选假日酒店,441条点评,400,公共路18号,32.090741,118.738424
锦江之星(南京火车站中央门店),476条点评,129,建宁路16号,32.091309,118.7756
南京秦淮人家精品酒店,898条点评,388,夫子庙大石坝街128号,32.019491,118.791076
南京新街口景程酒店(鸡鸣寺地铁站店),332条点评,131,四牌楼61号2楼,32.052877,118.792743
沁程湖畔民宿(南京湖南路玄武门地铁站店),196条点评,203,丁家桥13号C-2幢528房间,32.070245,118.776982
尚花奢酒店(南京新街口张府园地铁站店),445条点评,123,建邺路80号,32.030535,118.781626
花涧宿(湖南路玄武门地铁站店),164条点评,168,观澜中心万都广场C-2幢14楼,32.069846,118.776783
南京东山智选假日酒店,"1,077条点评",283,天行路19号,31.984398,118.87707
清沐·礼酒店(南京总统府新街口店),728条点评,154,成贤街39号01幢,32.049384,118.794955
悦见里影院公寓(南京江宁大学城店),703条点评,92,鹏山路26号祥云悦广场1栋21楼,31.914735,118.895051
南京冶一城市民宿(夫子庙店),602条点评,310,中华路1号观城国际北楼,32.028186,118.786568
御华庭酒店(南京博物院光华门店),657条点评,89,御道街69号 (苏果社区店旁),32.024195,118.816307
南京国信大酒店,236条点评,308,长江路88号估衣廊,32.046044,118.78645
亚朵酒店(南京禄口机场店),"2,108条点评",394,禄口机场翔燕路5号,31.736607,118.872527
莫泰168(南京江宁大学城龙眠大道地铁站店),972条点评,122,天元东路827号,31.939571,118.873258
祥歌之钻·全智能影院公寓(南京南站金轮星际中心店),328条点评,147,宏运大道金轮星际中心A3栋19楼,31.961047,118.800746
如家商旅酒店(南京江北工业大学地铁站店),"1,067条点评",180,浦口大道18号,32.070822,118.645656
花筑·南京夫子庙琵琶行精品酒店,"1,830条点评",193,大石坝街63号,32.019161,118.790663
大观视界酒店(南京鼓楼区阅江楼风景区店),"1,257条点评",278,建宁路300号,32.09401,118.743601
南京新街口元庭设计民宿,329条点评,199,中山南路224号三层,32.034396,118.783846
好季酒店(南京新街口常府街地铁站店),126条点评,186,太平南路305号1楼,32.032712,118.793283
南京南站A1·小公馆影院公寓,"4,243条点评",124,石华街5号A1栋小公馆一楼大堂,31.970855,118.792736
特迷风情假日酒店(南京江宁大学城龙眠大道地铁站店),424条点评,88,天元东路795号,31.939425,118.871867
沐江南酒店(南京新街口地铁站友谊广场店),582条点评,293,汉中路27号友谊广场B座1楼,32.04116,118.782257
索泊阁·影院公寓(南京南站证大喜玛拉雅店),"1,737条点评",81,明城大道10号证大喜玛拉雅中心F座7楼718室,31.966325,118.80501
吉尔福德酒店(夫子庙老门东店),"2,554条点评",299,钞库街18号,32.01818,118.787794
如家睿柏·云酒店(南京夫子庙景区步行街店),"2,262条点评",149,大石坝街71号,32.019113,118.790368
南京夫子庙秦淮河畔轻居酒店,216条点评,332,长乐路72号,32.017315,118.7864
宜尚酒店(南京龙江新城市广场店),603条点评,271,江东北路202号,32.050467,118.740019
南京幽舍酒店公寓(中胜地铁站新城科技园店),436条点评,145,楠溪江东街55号龙湖时代上城3幢1楼55-18号,31.988478,118.738895
如家派柏·云酒店(南京禄口机场金宁路店),241条点评,125,永欣商业街四角井商业街7-13号,31.771011,118.869648
如家精选酒店(南京龙江地铁站定淮门大街店),827条点评,168,定淮门大街12号,32.065619,118.739209
陸屿设计师酒店公寓(国际博览中心升龙汇金店),886条点评,242,庐山路288号升龙汇金中心1栋 (A栋) 大厅,31.980079,118.710394
宜尚酒店(南京博览中心奥体东地铁站店),797条点评,486,江东中路313号中泰国际大厦05栋4层,32.001636,118.727387
南京固城湾开元名都度假酒店,"4,209条点评",552,淳兴路29号,31.317174,118.874748
南京吉家酒店(禄口机场店),107条点评,69,禄口街道石埝村门塘头一组24号,31.719278,118.890472
清沐酒店(南京夫子庙大明路店),295条点评,112,大明路172号,32.002983,118.8098
南京THE TAI太和紫金大酒店,"4,466条点评",595,太平北路37号,32.045633,118.794964
南京新街口無舍民宿,159条点评,191,中山路102号凯润金城3幢,32.047295,118.784788
九色鹿公寓(南京建邺吾悦广场河西万达),356条点评,147,燕山路吾悦广场汉中门大街299号13楼1327室,32.038645,118.734819
南京南站尚好酒店公寓(软件大道店),312条点评,102,软件大道38号绿地云尚公馆A2幢3号门3楼332室,31.978019,118.790112
南京南站漫心酒店,"1,473条点评",395,东山街道江南路9号高铁网谷B座,31.965906,118.798518
南京佰利兹酒店(夫子庙景区店),"1,592条点评",143,白下路273号,32.027254,118.798916
爱电竞酒店(南京奥体博览中心中和路店),333条点评,223,中和路紫金1912玖悦荟商场四层,31.963113,118.70736
美豪丽致酒店(南京仙林大学城金鹰店),"1,069条点评",229,文枢西路30号,32.089752,118.90521
凯诗顿公寓(南京南站万科都荟天地店),"1,038条点评",97,东山街道竹翠路万科都荟天地B3栋1层115室,31.96489,118.796989
旅途酒店公寓(南京奥体中心店),214条点评,100,宏普捷座A座4层427室,32.013222,118.73406
南京夫子庙夜泊秦淮尊经书院酒店,795条点评,429,状元境19号,32.021531,118.787813
世纪缘酒店(南京溧水店),781条点评,380,宝塔北路16号,31.674408,119.019627
艺龙安云酒店(南京南站店),"1,280条点评",164,玉兰路88号,31.976463,118.79318
Y酒店(南京江宁大学城龙眠大道地铁站店),"1,113条点评",159,园中路12-15号,31.955576,118.885913
怡来酒店(南京南站河定桥地铁站店),649条点评,89,秦淮路4号青春水岸家园2栋1楼101,31.95338,118.816654
如家派柏·云酒店(南京南站北广场店),584条点评,102,"玉兰路99号, 明发广场1栋",31.976678,118.794895
南京金鹰国仕达酒店(新街口德基广场店),"1,698条点评",218,新街口管家桥36号,32.045075,118.783085
桔子水晶南京奥体中心酒店,"1,443条点评",548,江东中路231-18号,32.010166,118.734548
南京黄龙岘瑞轩庭院,153条点评,436,江宁街道牌坊社区陶家22号,31.780767,118.681511
南京夫子庙熙涵映漫心府,753条点评,424,熙南里街区大板巷院落3-5栋,32.025656,118.780743
宜佳精品影院公寓(南京南站店),81条点评,81,明城大道创新街万科公寓F5幢1202室泰森楼上,31.965793,118.806314
古南都玉澜庭酒店(南京博物院明故宫地铁站店),"1,368条点评",221,中山东路532-2号,32.038154,118.823517
柏林精品酒店公寓(南京天隆寺地铁站店),744条点评,115,软件大道109号雨花客厅七栋一层,31.980269,118.764717
花筑·江南酒店 (南京玄武湖湖南路店),"1,238条点评",146,中山北路215号三乐电子大厦,32.070403,118.770183
桔子水晶南京新街口国际金融中心酒店,"2,242条点评",375,汉中路27号友谊广场A座1楼12-15楼,32.041549,118.781821
和颐酒店(南京博物院明故宫地铁站店),688条点评,231,明故宫路20号,32.040683,118.818931
维也纳酒店(南京奥体中心弘阳家居博览中心店),382条点评,231,雨贸路7号,31.944102,118.658356
南京江宁Moxy酒店,350条点评,408,天元东路15号,31.933237,118.846894
南京新街口中央商场漫心酒店,"1,271条点评",342,正洪街18号一禾广场4楼,32.039124,118.786398
电战熊电竞公寓(江宁大学城店),"1,020条点评",162,鹏山路26号祥云悦广场1栋21楼,31.915015,118.895436
流苏・致意行旅酒店(南京夫子庙瞻园店),"4,929条点评",146,瞻园路86号,32.019676,118.787425
流苏·栖云酒店(南京夫子庙老门东店),"2,036条点评",179,信府河60号,32.015588,118.78447
南京中山北路丽柏酒店,196条点评,342,中山北路623号,32.08742,118.735026
荟枫茂酒店(溧水万达广场店),169条点评,114,永阳镇高平大街55号万达广场6栋401室,31.627016,119.049203
清沐·尚酒店(南京玄武湖景区湖南路店),794条点评,167,"湖南路马台街70号 (玄武湖公园, 中大医院)",32.071735,118.773992
布丁酒店(南京南站北广场绿地之窗店),"2,960条点评",79,江南路2号3楼,31.969335,118.793936
南京中山陵景区启迪大街亚朵酒店,"1,656条点评",332,智识路9号11幢,32.022257,118.906599
铂悦轻居酒店(南京湖南路中大医院店),773条点评,131,湖南路16号,32.069273,118.778518
南京新街口苏宁诺富特酒店,"5,482条点评",388,淮海路68号,32.037035,118.786169
铂派酒店(南京仙林大学城万达茂店),467条点评,208,仙林大道181号万达茂A座1楼,32.12065,118.987625
如家商旅酒店(南京江宁万达广场天印大道店),842条点评,145,天印大道658号,31.965378,118.857587
繁花酒店(南京秦淮河老门东店),96条点评,146,中华路554号1楼,32.014098,118.781853
爱涛酒店(南京夫子庙景区店),"1,085条点评",399,平江府路191号,32.015943,118.792724
清沐精选酒店(南京湖南路玄武湖景区山西路店),"1,037条点评",154,中山北路88号建伟大厦1楼,32.067594,118.774797
清沐酒店(南京玄武湖景区云南北路店),691条点评,162,云南北路83号5楼,32.067362,118.780747
菲丽亚酒店(南京研创园芯片之城浦云路店),263条点评,115,浦云路207号滨江榴园27幢,32.034879,118.625781
爱电竞酒店(南京新城市广场龙江地铁站店),176条点评,216,草场门大街126号四层,32.058166,118.737341
蔓越影院公寓(南京南站店),"1,237条点评",88,明城大道10号喜马拉雅F座8楼804室,31.966204,118.805098
南京南站南广场轻居酒店,446条点评,280,农花路98号,31.960005,118.793939
吉尔福德酒店,"2,657条点评",394,贡院街33号,32.021841,118.792736
南京情之海酒店 (禄口国际机场店),925条点评,98,禄口街道石埝社区石埝村91-1号,31.720786,118.89183
南京博物院轻居酒店,677条点评,304,后宰门街23号,32.044897,118.821767
瑞斯特酒店(南京江宁中医院店),122条点评,78,湖西路146号瑞祥佳苑4号楼101,31.971953,118.85942
南京紫峰洲际酒店,"8,842条点评",827,中央路1号,32.06101,118.783434
TiMo电竞公寓(南京南站万科都荟天地店),811条点评,139,竹翠路5号万科都荟天地B3栋1层115室,31.964854,118.796913
花筑·南京华康酒店(南京明故宫地铁站店),"1,861条点评",195,珠江路691号,32.04555,118.818109
南京玄武湖智选假日酒店,"1,815条点评",364,太平门东街2号,32.057089,118.81414
东航华美达酒店(南京机场店),738条点评,272,禄口国际机场东航江苏基地内,31.743806,118.888666
清柏酒店(南京火车站林业大学店),211条点评,124,板仓村4号,32.068296,118.818591
印湖酒店(南京万达茂仙林大学城店),911条点评,153,西岗街道广志路24号3幢万达茂E座1楼,32.123297,118.989558
东方臻选酒店公寓(南京万汇城明发财富中心店),820条点评,77,浦口大道6号明发财富中心3号楼扬子公寓1楼111门面,32.063117,118.659407
维也纳国际酒店(南京汤山温泉度假区店),744条点评,208,汤山街道上善路与汤泉路交叉口西,32.04171,119.069089
艺选安來酒店(南京夫子庙步行街店),276条点评,129,大石坝街65号,32.019121,118.790584
古南都逸居酒店(南京博物院店),971条点评,228,解放南路68-9号,32.031823,118.810132
尚好商旅酒店公寓(南京奥体新城科技园店),"1,441条点评",228,楠溪江东街55号龙湖时代上城3栋大厅背后1楼 (办理入住),31.988773,118.738753
清沐铂金酒店(南京水西门大街莫愁湖地铁站店),"2,147条点评",148,水西门大街242号,32.032957,118.757516
南京栖霞山涵田栖云山房酒店,"2,499条点评",780,栖霞街68号,32.14832,118.955787
南京卓尔美居酒店,50条点评,96,行辅路7号苏宁紫金嘉悦1栋427室,32.096449,118.885259
壹家湾公寓(南京新街口店),191条点评,66,洪武路267号洪武大厦804室,32.033212,118.787113
南京智选・栖宿设计师酒店(万达茂店),154条点评,214,西岗街广志路24号3幢一层,32.123298,118.989554
南京麓居民宿(浦口万汇城地铁站店),95条点评,74,江畔都会上城20栋2011室,32.066467,118.667256
丽呈六洲荟酒店(高淳濑渚洲公园店),176条点评,306,淳溪街道丹阳湖南路5号,31.322723,118.895851
南京高楼门饭店,273条点评,291,高楼门62号,32.063975,118.787376
尚好商旅公寓(南京浦口万汇城地铁站店),40条点评,109,浦口大道8号南京江北万汇城万汇公馆10幢114号,32.063189,118.657821
花小住影院公寓(万璟汽车生活广场店),161条点评,93,东山街道万泰路10号1幢518室,31.985873,118.881239
康铂酒店(南京南站大明路地铁站店),166条点评,220,卡子门大街72号,31.984489,118.800395
沃孜酒店(南京夫子庙步行街店),"1,690条点评",164,大石坝街79号,32.018762,118.790056
龙猫精灵酒店(南京火车站红山动物园店),168条点评,129,和燕路168号,32.095496,118.799002
城南旧事文化主题酒店(南京夫子庙瞻园店),647条点评,128,中华路278号,32.020529,118.783742
如家精选酒店(南京夫子庙步行街店),861条点评,238,来燕路1号,32.017953,118.788148
小蓝鲸臻选(湖南路玄武门地铁站店),54条点评,166,绿地紫金中心12楼,32.069858,118.776751
网鱼电竞酒店(南京江宁万达店),490条点评,178,江宁街道明月路188号香海大厦四楼,31.949335,118.834346
南京S公寓(城北万象汇万寿地铁站店),192条点评,79,燕城大道10号1幢1519室,32.123675,118.83565
南京玄武苏宁诺富特酒店,"1,820条点评",339,苏宁大道9号,32.085999,118.89133
醉清风·影院民宿,42条点评,74,万科都荟天地B3-120室,31.964706,118.796603
世纪缘精品酒店(南京夫子庙水西门大街店),"1,309条点评",174,莫愁路81号,32.030956,118.771121
一米阳光影院酒店(南京新街口店),558条点评,108,延龄巷61号,32.037225,118.791447
宽渡酒店(南京夫子庙店),824条点评,160,熙南里街区15号,32.024431,118.781567
花筑·南京映归途精品民宿(夫子庙老门东店),268条点评,341,长乐渡大井巷17号,32.012996,118.785491
南京机场宾馆(夫子庙龙蟠中路店),369条点评,288,龙蟠中路451号,32.019732,118.800554
米漫轻奢美居公寓(奥体中心升龙汇金店),429条点评,113,双闸街道庐山路288号升龙汇金中心2栋2527室,31.979523,118.710581
夫子庙柒金·陵精品酒店,716条点评,322,老门东长乐渡大荷花巷18号,32.012162,118.784984
嘉美影院酒店(南京奥体新城科技园店),944条点评,156,楠溪江东街55号龙湖时代上城3栋一楼55-22号,31.987969,118.73808
汉奢假日酒店(南京百家湖水晶蓝湾店),307条点评,132,双龙大道1568号水晶蓝湾3栋1单元3楼,31.933959,118.820658
格林豪泰智选酒店(南京夫子庙常府街地铁站店),916条点评,180,娃娃桥6号,32.030582,118.789865
金帆万源酒店(麒麟人工智能产业园店),186条点评,294,创研路266号人工智能产业园10号楼,32.028677,118.925461
奥盛未来·影院酒店公寓(江宁大学城店),288条点评,105,鹏山路26号祥云悦广场1栋2楼大厅,31.914786,118.895058
清沐·礼酒店(南京高力家居港晓庄地铁站店),312条点评,140,栖霞大道8号高力家居港一楼,32.115398,118.824621
南京华江饭店,513条点评,308,中山北路178号,32.071919,118.769625
如家商旅酒店(南京新街口地铁站洪武路步行街店),"2,543条点评",196,洪武路50号7楼,32.038838,118.787051
南京老门东金陵文璟酒店(夫子庙店),502条点评,358,夫子庙街道边营43号,32.010012,118.78917
筑梦家酒店公寓(弘阳广场店),75条点评,68,弘阳时代中心二期5栋1楼125室,32.137819,118.720862
华达宾馆(南京新街口珠江路地铁站店),412条点评,308,青岛路33号,32.052906,118.777564
你好酒店(南京总统府店),663条点评,230,珠江路205号,32.049883,118.789833
南京西康宾馆,404条点评,427,西康路33号,32.062889,118.762831
如家酒店·neo(南京夫子庙店),979条点评,173,建康路状元境41号,32.022323,118.787415
世纪缘湖滨花园酒店(南京玄武湖店),531条点评,478,太平门阳光路3号,32.064285,118.814181
爱电竞酒店(南京南站店),443条点评,209,民智路13号喜马拉雅B座2楼,31.96442,118.805917
南京中山陵六朝瑞庭酒店,135条点评,258,石象路7号,32.047542,118.838496
润葳酒店(南京小龙湾地铁站店),271条点评,287,菲尼克斯路70号,31.929634,118.833264
恬觅·小憩民宿(南京钟山风景区苜蓿园地铁站店),71条点评,326,卫岗55号A5,32.04,118.840159
清沐精选酒店(南京浦珠北路万江共和新城店),119条点评,125,江北新区浦珠北路139号万江共和城天和苑34幢一层门面房,32.10994,118.706941
南京熹禾涵田酒店,354条点评,408,江浦街道象贤路158号,32.020349,118.61598
南京金奥国际酒店,"3,572条点评",1097,江东中路333号,31.997874,118.724979
岚枫酒店公寓(河西儿童医院店),291条点评,137,双闸街道首创天阅公馆2幢01室,31.973625,118.706802
四季归谷酒店(南京火车站中央门店),562条点评,113,中央路282号 (近一号线新模范马路4号出口),32.084559,118.784333
清沐·礼酒店(南京水西门大街莫愁湖公园店),143条点评,117,长虹路10号,32.029085,118.767089
南京胡杨树民宿(江北新区华润万象公馆店),98条点评,69,更新路华润国际社区万象公馆B7栋7楼,32.08758,118.689114
汉奢假日酒店(南京夫子庙地铁站景区店),"1,418条点评",124,太平南路536号,32.024167,118.788923
艺选安來酒店(南京南站胜太路地铁站店),385条点评,122,胜太东路8号,31.943506,118.823774
花筑·南京几家碳酸温泉酒店,536条点评,179,杨家胡同79号-1幢,32.04811,118.800693
南京寓见酒店式公寓(建邺吾悦广场河西万达店),311条点评,152,汉中门大街299号吾悦广场2幢1605室,32.037477,118.735807
如家精选酒店(南京夫子庙三山街地铁站店),350条点评,257,中山南路321号现代大厦4楼,32.025274,118.782924
